post_id,post_name,post_author,post_date,post_type,post_status,post_title,post_content,post_category,post_tags,custom_field
,,sugimoto,2019/12/17,post,publish,2020/1/19 JALスポーツ能力測定会 in 福岡のお申込みは終了しました。　,"2020/1/19 JALスポーツ能力測定会 in 福岡のお申込みは終了しました。　
<a href='http://www.dosa.or.jp/event_pdf/2020/20200119fk.pdf'>http://www.dosa.or.jp/event_pdf/2020/20200119fk.pdf</a>",お知らせ,,
,,sugimoto,2019/12/06,post,publish,2020/1/11 JALスポーツ能力測定会 in 富山のお申込みは終了しました。　,"2020/1/11 JALスポーツ能力測定会 in 富山のお申込みは終了しました。　
<a href='http://www.dosa.or.jp/event_pdf/2020/20200111.pdf'>http://www.dosa.or.jp/event_pdf/2020/20200111.pdf</a>",お知らせ,,
,,sugimoto,2019/11/20,post,publish,12/22 JALスポーツ能力測定会 in 栃木のお申込みは終了しました。　,"12/22 JALスポーツ能力測定会 in 栃木のお申込みは終了しました。　
<a href='http://www.dosa.or.jp/event_pdf/2019/20191222.pdf'>http://www.dosa.or.jp/event_pdf/2019/20191222.pdf</a>",お知らせ,,
,,sugimoto,2019/11/20,post,publish,12/15 スポーツ能力測定会 in 宇都宮のお申込みは終了しました。　,"12/15 スポーツ能力測定会 in 宇都宮のお申込みは終了しました。　
<a href='http://www.dosa.or.jp/event_pdf/2019/20191215.pdf'>http://www.dosa.or.jp/event_pdf/2019/20191215.pdf</a>",お知らせ,,
,,sugimoto,2019/11/11,post,publish,12/14 JALスポーツ能力測定会 in 水戸のお申込みは終了しました。　,"12/14 JALスポーツ能力測定会 in 水戸のお申込みは終了しました。　
<a href='http://www.dosa.or.jp/event_pdf/2019/201912142.pdf'>http://www.dosa.or.jp/event_pdf/2019/201912142.pdf</a>",お知らせ,,
,,sugimoto,2019/11/11,post,publish,12/14 JALスポーツ能力測定会 in 水戸のお申込みは終了しました。　,"12/14 JALスポーツ能力測定会 in 水戸のお申込みは終了しました。　
<a href='http://www.dosa.or.jp/event_pdf/2019/201912142.pdf'>http://www.dosa.or.jp/event_pdf/2019/201912142.pdf</a>",お知らせ,,
,,sugimoto,2019/11/11,post,publish,12/8 JALスポーツ能力測定会 in 和歌山のお申込みは終了しました。　,"12/8 JALスポーツ能力測定会 in 和歌山のお申込みは終了しました。　
<a href='http://www.dosa.or.jp/event_pdf/2019/20191208.pdf'>http://www.dosa.or.jp/event_pdf/2019/20191208.pdf</a>",お知らせ,,
,,sugimoto,2019/11/06,post,publish,12/14 スポーツ能力測定会 in 御殿場市のお申込みは終了しました。　,"12/14 スポーツ能力測定会 in 御殿場市のお申込みは終了しました。　
<a href='http://www.dosa.or.jp/event_pdf/2019/20191214.pdf'>http://www.dosa.or.jp/event_pdf/2019/20191214.pdf</a>",お知らせ,,
,,sugimoto,2019/11/01,post,publish,スポーツ能力測定会 in 大洲のお申込みは終了しました。　,"スポーツ能力測定会 in 大洲のお申込みは終了しました。　
<a href='http://www.dosa.or.jp/event_pdf/2019/20191130.pdf'>http://www.dosa.or.jp/event_pdf/2019/20191130.pdf</a>",お知らせ,,
,,sugimoto,2019/10/21,post,publish,11/3 秋のこむこむまつりスポーツ能力測定チャレンジのお申込みは終了しました。,"11/3 秋のこむこむまつりスポーツ能力測定チャレンジのお申込みは終了しました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20191103-f.pdf'>http://www.dosa.or.jp/event_pdf/2019/20191103-f.pdf</a>",お知らせ,,
,,sugimoto,2019/10/17,post,publish,11/23 DOSAスポーツ能力測定会 in 秋田のお申込みは終了しました。,"11/23 DOSAスポーツ能力測定会 in 秋田のお申込みは終了しました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20191123.pdf'>http://www.dosa.or.jp/event_pdf/2019/20191123.pdf</a>",お知らせ,,
,,sugimoto,2019/10/11,post,publish,台風25号接近に伴い「スポーツ能力測定会in三鷹市」開催は中止となりました。,"台風25号接近に伴い「スポーツ能力測定会in三鷹市」開催は中止となりました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20191013.pdf'>http://www.dosa.or.jp/event_pdf/2019/20191013.pdf</a>",お知らせ,,
,,sugimoto,2019/10/08,post,publish,11/16 スポーツ能力測定会 in 藤枝市のお申込みは終了しました。,"11/16 スポーツ能力測定会 in 藤枝市のお申込みは終了しました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20191116.pdf'>http://www.dosa.or.jp/event_pdf/2019/20191116.pdf</a>",お知らせ,,
,,sugimoto,2019/10/07,post,publish,11/2-3 三菱UFJ銀行スポーツチャレンジ in 東京のお申込みは終了しました。,11/2-3 三菱UFJ銀行スポーツチャレンジ in 東京のお申込みは終了しました。,お知らせ,,
,,sugimoto,2019/10/01,post,publish,10/27 JALスポーツ能力測定会 in 京都のお申込みは終了しました。,"10/27 JALスポーツ能力測定会 in 京都のお申込みは終了しました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20191027.pdf'>http://www.dosa.or.jp/event_pdf/2019/20191027.pdf</a>",お知らせ,,
,,sugimoto,2019/09/11,post,publish,10/22 札幌市豊平区測定会のお申込みは終了しました。,"10/22 札幌市豊平区測定会のお申込みは終了しました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20191022.pdf'>http://www.dosa.or.jp/event_pdf/2019/20191022.pdf</a>",お知らせ,,
,,sugimoto,2019/09/08,post,publish,10/13 DOSAスポーツ能力測定会 in 三鷹市のお申込みは終了しました。,"10/13 DOSAスポーツ能力測定会 in 三鷹市のお申込みは終了しました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20191013.pdf'>http://www.dosa.or.jp/event_pdf/2019/20191013.pdf</a>",お知らせ,,
,,sugimoto,2019/08/19,post,publish,10/20 秋田県スポーツ能力測定会&スポーツ体験会のお申込みはは終了しました。,"10/20 秋田県スポーツ能力測定会&スポーツ体験会のお申込みはは終了しました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20191020.pdf'>http://www.dosa.or.jp/event_pdf/2019/20191020.pdf</a>",お知らせ,,
,,sugimoto,2019/08/19,post,publish,9/16スポーツ能力測定会 in 福井のお申込みは終了しました。,"9/16スポーツ能力測定会 in 福井のお申込みは終了しました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20190916.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190916.pdf</a>",お知らせ,,
,,sugimoto,2019/08/06,post,publish,スポーツ庁「Sport in Lifeプロジェクト」への参画を承認されました,スポーツ庁「Sport in Lifeプロジェクト」への参画を承認されました,お知らせ,,
,,sugimoto,2019/7/26,post,publish,9/8 JALスポーツ能力測定会in群馬のお申込みは終了しました。,"9/8 JALスポーツ能力測定会in群馬のお申込みは終了しました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20190908.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190908.pdf</a>",お知らせ,,
,,sugimoto,2019/7/22,post,publish,9/7 四日市市スポーツ能力測定会のお申込みは終了しました。,"9/7 四日市市スポーツ能力測定会のお申込みは終了しました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20190907.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190907.pdf</a>",お知らせ,,
,,sugimoto,2019/7/22,post,publish,9/1 JALスポーツ能力測定会in佐賀のお申込みは終了しました。,"9/1 JALスポーツ能力測定会in佐賀のお申込みは終了しました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20190901.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190901.pdf</a>",お知らせ,,
,,sugimoto,2019/7/12,post,publish,8/12 環境さっぽろ2019 スポーツ能力測定会は終了いたしました。,"8/12 環境さっぽろ2019 スポーツ能力測定会は終了いたしました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20190821.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190821.pdf</a>",お知らせ,,
,,sugimoto,2019/06/24,post,publish,7/20スポーツ能力測定会 in 長野のお申込みは終了しました。　,"7/20スポーツ能力測定会 in 長野のお申込みは終了しました。　
<a href='http://www.dosa.or.jp/event_pdf/2019/20190720.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190720.pdf</a>",お知らせ,,
,,sugimoto,2019/06/18,post,publish,あいちトップアスリートアカデミー2019ご応募者へのお詫びとお願い,"あいちトップアスリートアカデミー2019ご応募者へのお詫びとお願い
<a href='http://www.dosa.or.jp/event_pdf/2019/20190618.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190618.pdf</a>",お知らせ,,
,,sugimoto,2019/06/17,post,publish,JALスポーツ能力測定会 in 石川のお申込みは終了しました。　,"JALスポーツ能力測定会 in 石川のお申込みは終了しました。　
<a href='http://www.dosa.or.jp/event_pdf/2019/20190713.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190713.pdf</a>",お知らせ,,
,,sugimoto,2019/06/14,post,publish,7/20スポーツ能力測定会 in つくばスポーツフェスティバル2019のお申込みは終了しました。　,"7/20スポーツ能力測定会 in つくばスポーツフェスティバル2019のお申込みは終了しました。　
<a href='http://www.dosa.or.jp/event_pdf/2019/20190720tk.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190720tk.pdf</a>",お知らせ,,
,,sugimoto,2019/06/14,post,publish,7/14スポーツ能力測定会＆スポーツ見本市（七尾市）のお申込みは終了しました。　,"7/14スポーツ能力測定会＆スポーツ見本市（七尾市）のお申込みは終了しました。　
<a href='http://www.dosa.or.jp/event_pdf/2019/20190714.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190714.pdf</a>",お知らせ,,
,,sugimoto,2019/06/12,post,publish,7/7スポーツ能力測定会 in 那須塩原のお申込みはのお申込みは終了しました。　,"7/7スポーツ能力測定会 in 那須塩原のお申込みはのお申込みは終了しました。　
<a href='http://www.dosa.or.jp/event_pdf/2019/20190707.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190707.pdf</a>",お知らせ,,
,,sugimoto,2019/06/11,post,publish,6/15宮古島測定会につきまして　6/15JAL宮古島測定会は、事前参加申し込みの受付を終了しておりますが、当日会場での申し込みも受け付けます。その場合、受付にお時間を要する場合がございますのでご了承ください。,6/15宮古島測定会につきまして　6/15JAL宮古島測定会は、事前参加申し込みの受付を終了しておりますが、当日会場での申し込みも受け付けます。その場合、受付にお時間を要する場合がございますのでご了承ください。,お知らせ,,
,,sugimoto,2019/06/07,post,publish,あいちトップアスリートアカデミー2019募集定員超過に関するお知らせ,"あいちトップアスリートアカデミー2019募集定員超過に関するお知らせ
<a href='http://www.dosa.or.jp/event_pdf/2019/0607-info.pdf'>http://www.dosa.or.jp/event_pdf/2019/0607-info.pdf</a>",お知らせ,,
,,sugimoto,2019/06/04,post,publish,7/7 スポーツ能力測定会 in 南大隅町ののお申込みは終了しました。,"7/7 スポーツ能力測定会 in 南大隅町ののお申込みは終了しました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20190707kg.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190707kg.pdf</a>",お知らせ,,
,,sugimoto,2019/05/20,post,publish,6/15 JALスポーツ能力測定会 in 宮古島のお申込みは終了しました。,"6/15 JALスポーツ能力測定会 in 宮古島のお申込みは終了しました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20190615.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190615.pdf</a>",お知らせ,,
,,sugimoto,2019/05/20,post,publish,7/13 あいちトップアスリートアカデミー 名古屋会場おのお申込みは終了しました。,"7/13 あいちトップアスリートアカデミー 名古屋会場おのお申込みは終了しました。
<a href='http://www.dosa.or.jp/event_pdf/2019/201907.pdf'>http://www.dosa.or.jp/event_pdf/2019/201907.pdf</a>",お知らせ,,
,,sugimoto,2019/05/20,post,publish,7/20 あいちトップアスリートアカデミー 豊川会場のお申込みは終了しました。,"7/20 あいちトップアスリートアカデミー 豊川会場のお申込みは終了しました。
<a href='http://www.dosa.or.jp/event_pdf/2019/201907.pdf'>http://www.dosa.or.jp/event_pdf/2019/201907.pdf</a>",お知らせ,,
